optimizer,η,λ,α2,α3,validloss
RMSProp,0.0005,0.0,5,3,0.12590368
Adam,0.0005,0.0,5,3,0.13111141
RMSProp,0.0005,5.0e-7,2,8,0.1514391
RMSProp,0.0005,0.0,2,5,0.15195096
RMSProp,0.0005,0.0,3,5,0.16389683
RMSProp,0.0005,5.0e-7,2,3,0.18220353
RMSProp,0.0005,0.0,5,3,0.1865556
RMSProp,0.0001,5.0e-7,3,8,0.18657279
RMSProp,0.0001,5.0e-7,2,5,0.18853828
RMSProp,0.0005,5.0e-7,3,5,0.18857148
RMSProp,0.0001,0.0,2,5,0.18860838
Adam,0.0001,5.0e-5,5,8,0.19005476
RMSProp,0.0005,5.0e-7,5,8,0.19036983
RMSProp,0.0001,5.0e-7,3,8,0.1907581
RMSProp,0.0001,5.0e-5,2,5,0.19145438
Adam,0.0005,5.0e-7,5,3,0.19200982
RMSProp,0.0001,5.0e-7,5,8,0.19259627
RMSProp,0.0001,0.0,3,8,0.19268875
Adam,0.0001,5.0e-5,5,3,0.19320376
RMSProp,0.0001,5.0e-5,2,8,0.1934735
RMSProp,0.0001,5.0e-5,2,8,0.19404984
Adam,0.0001,5.0e-5,5,5,0.19416116
Adam,0.0001,0.0,5,5,0.19459033
Adam,0.0001,0.0,2,3,0.1946244
Adam,0.0005,5.0e-5,3,8,0.19534123
Adam,0.0001,0.0,2,3,0.1953678
Adam,0.0005,5.0e-5,3,3,0.19626434
Adam,0.0005,5.0e-7,2,3,0.19648208
RMSProp,0.0005,5.0e-5,3,8,0.19665113
RMSProp,0.0005,0.0,3,5,0.1992793
